2025-04-15 21:18:27,484 - INFO - Player 1, Action 64, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,485 - INFO - Player 2, Action 9, Action type pick token, Total tokens 5, Next player 2
2025-04-15 21:18:27,487 - INFO - Player 3, Action 64, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,489 - INFO - Player 0, Action 4, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:18:27,490 - INFO - Player 1, Action 0, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:18:27,492 - INFO - Player 2, Action 28, Action type pick token, Total tokens 7, Next player 2
2025-04-15 21:18:27,495 - INFO - Player 3, Action 25, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,497 - INFO - Player 0, Action 1, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:18:27,499 - INFO - Player 1, Action 1, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,502 - INFO - Player 2, Action 27, Action type pick token, Total tokens 9, Next player 2
2025-04-15 21:18:27,503 - INFO - Player 2, Action 59, Action type return token, Total tokens 11, Next player 2
2025-04-15 21:18:27,504 - INFO - Player 3, Action 75, Action type return token, Total tokens 8, Next player 3
2025-04-15 21:18:27,506 - INFO - Player 0, Action 62, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:18:27,509 - INFO - Player 1, Action 64, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,510 - INFO - Player 2, Action 6, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:18:27,512 - INFO - Player 3, Action 2, Action type pick token, Total tokens 9, Next player 3
2025-04-15 21:18:27,514 - INFO - Player 0, Action 15, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:18:27,516 - INFO - Player 1, Action 25, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,518 - INFO - Player 2, Action 71, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:18:27,519 - INFO - Player 3, Action 17, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,521 - INFO - Player 3, Action 57, Action type return token, Total tokens 11, Next player 3
2025-04-15 21:18:27,522 - INFO - Player 0, Action 63, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:18:27,524 - INFO - Player 1, Action 70, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,525 - INFO - Player 2, Action 21, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:18:27,526 - INFO - Player 3, Action 74, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:18:27,528 - INFO - Player 0, Action 15, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:18:27,531 - INFO - Player 1, Action 8, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,532 - INFO - Player 2, Action 83, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:18:27,533 - INFO - Player 3, Action 5, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:18:27,535 - INFO - Player 0, Action 79, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:18:27,536 - INFO - Player 1, Action 59, Action type return token, Total tokens 10, Next player 1
2025-04-15 21:18:27,538 - INFO - Player 2, Action 37, Action type buy card, Total tokens 6, Next player 2
2025-04-15 21:18:27,540 - INFO - Player 3, Action 62, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:18:27,542 - INFO - Player 0, Action 56, Action type buy reserved, Total tokens 9, Next player 0
2025-04-15 21:18:27,544 - INFO - Player 1, Action 21, Action type pick token, Total tokens 13, Next player 1
2025-04-15 21:18:27,546 - INFO - Player 2, Action 14, Action type pick token, Total tokens 8, Next player 2
2025-04-15 21:18:27,547 - INFO - Player 3, Action 15, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,549 - INFO - Player 0, Action 55, Action type buy reserved, Total tokens 9, Next player 0
2025-04-15 21:18:27,551 - INFO - Player 1, Action 79, Action type return token, Total tokens 10, Next player 1
2025-04-15 21:18:27,552 - INFO - Player 2, Action 0, Action type pick token, Total tokens 9, Next player 2
