2025-04-15 21:35:30,684 - INFO - Player 3, Action 82, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:35:30,686 - INFO - Player 0, Action 4, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:35:30,688 - INFO - Player 1, Action 0, Action type pick token, Total tokens 5, Next player 1
2025-04-15 21:35:30,689 - INFO - Player 2, Action 0, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:35:30,691 - INFO - Player 3, Action 27, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:35:30,693 - INFO - Player 0, Action 0, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:35:30,695 - INFO - Player 1, Action 52, Action type reserve card, Total tokens 6, Next player 1
2025-04-15 21:35:30,696 - INFO - Player 2, Action 7, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:35:30,697 - INFO - Player 3, Action 61, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:35:30,698 - INFO - Player 0, Action 57, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,700 - INFO - Player 1, Action 7, Action type pick token, Total tokens 8, Next player 1
2025-04-15 21:35:30,701 - INFO - Player 2, Action 79, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,702 - INFO - Player 3, Action 14, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:35:30,704 - INFO - Player 0, Action 13, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,706 - INFO - Player 1, Action 36, Action type buy card, Total tokens 5, Next player 1
2025-04-15 21:35:30,708 - INFO - Player 2, Action 28, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,709 - INFO - Player 3, Action 70, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:35:30,710 - INFO - Player 0, Action 86, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,711 - INFO - Player 1, Action 28, Action type pick token, Total tokens 7, Next player 1
2025-04-15 21:35:30,713 - INFO - Player 2, Action 57, Action type return token, Total tokens 10, Next player 2
