2025-04-15 21:08:33,158 - INFO - Starting Dueling DQN training for SplendorLightZeroEnv
2025-04-15 21:08:34,911 - INFO - Player 0, Action 58, Total tokens 10, Next player 0
2025-04-15 21:08:34,913 - INFO - Player 1, Action 48, Total tokens 9, Next player 1
2025-04-15 21:08:34,916 - INFO - Player 2, Action 84, Total tokens 10, Next player 2
2025-04-15 21:08:34,918 - INFO - Player 3, Action 21, Total tokens 13, Next player 3
2025-04-15 21:08:34,920 - INFO - Player 0, Action 12, Total tokens 12, Next player 0
2025-04-15 21:08:34,924 - INFO - Player 1, Action 0, Total tokens 10, Next player 1
2025-04-15 21:08:34,926 - INFO - Player 2, Action 56, Total tokens 6, Next player 2
2025-04-15 21:08:34,928 - INFO - Player 3, Action 80, Total tokens 10, Next player 3
2025-04-15 21:08:34,930 - INFO - Player 0, Action 77, Total tokens 9, Next player 0
2025-04-15 21:08:34,932 - INFO - Player 1, Action 11, Total tokens 12, Next player 1
2025-04-15 21:08:34,934 - INFO - Player 2, Action 46, Total tokens 7, Next player 2
2025-04-15 21:08:34,937 - INFO - Player 3, Action 25, Total tokens 12, Next player 3
2025-04-15 21:08:34,938 - INFO - Player 0, Action 7, Total tokens 11, Next player 0
2025-04-15 21:08:34,940 - INFO - Player 1, Action 74, Total tokens 9, Next player 1
2025-04-15 21:08:34,941 - INFO - Player 2, Action 16, Total tokens 10, Next player 2
2025-04-15 21:08:34,944 - INFO - Player 3, Action 83, Total tokens 10, Next player 3
2025-04-15 21:08:34,945 - INFO - Player 0, Action 60, Total tokens 10, Next player 0
2025-04-15 21:08:34,947 - INFO - Player 1, Action 7, Total tokens 11, Next player 1
2025-04-15 21:08:34,949 - INFO - Player 2, Action 26, Total tokens 12, Next player 2
2025-04-15 21:08:34,952 - INFO - Player 3, Action 35, Total tokens 6, Next player 3
2025-04-15 21:08:34,954 - INFO - Player 0, Action 17, Total tokens 13, Next player 0
2025-04-15 21:08:34,955 - INFO - Player 1, Action 58, Total tokens 10, Next player 1
2025-04-15 21:08:34,957 - INFO - Player 2, Action 83, Total tokens 10, Next player 2
2025-04-15 21:08:34,959 - INFO - Player 3, Action 29, Total tokens 8, Next player 3
2025-04-15 21:08:34,961 - INFO - Player 0, Action 75, Total tokens 10, Next player 0
2025-04-15 21:08:34,963 - INFO - Player 1, Action 14, Total tokens 12, Next player 1
2025-04-15 21:08:34,967 - INFO - Player 2, Action 13, Total tokens 12, Next player 2
2025-04-15 21:08:34,969 - INFO - Player 3, Action 25, Total tokens 10, Next player 3
2025-04-15 21:08:34,971 - INFO - Player 0, Action 0, Total tokens 11, Next player 0
2025-04-15 21:08:34,973 - INFO - Player 1, Action 62, Total tokens 10, Next player 1
2025-04-15 21:08:34,974 - INFO - Player 1, Action 59, Total tokens 11, Next player 1
2025-04-15 21:08:34,975 - INFO - Player 2, Action 59, Total tokens 10, Next player 2
2025-04-15 21:08:34,977 - INFO - Player 3, Action 22, Total tokens 13, Next player 3
2025-04-15 21:08:34,980 - INFO - Player 0, Action 71, Total tokens 9, Next player 0
2025-04-15 21:08:34,982 - INFO - Player 1, Action 3, Total tokens 11, Next player 1
2025-04-15 21:08:34,984 - INFO - Player 2, Action 34, Total tokens 7, Next player 2
2025-04-15 21:08:34,995 - INFO - Player 2, Action 62, Total tokens 11, Next player 2
2025-04-15 21:08:34,996 - INFO - Player 3, Action 77, Total tokens 8, Next player 3
2025-04-15 21:08:34,998 - INFO - Player 0, Action 3, Total tokens 10, Next player 0
2025-04-15 21:08:35,000 - INFO - Player 1, Action 59, Total tokens 10, Next player 1
2025-04-15 21:08:35,002 - INFO - Player 2, Action 10, Total tokens 9, Next player 2
2025-04-15 21:08:35,004 - INFO - Player 3, Action 19, Total tokens 11, Next player 3
2025-04-15 21:08:35,006 - INFO - Player 0, Action 24, Total tokens 13, Next player 0
2025-04-15 21:08:35,009 - INFO - Player 1, Action 23, Total tokens 13, Next player 1
2025-04-15 21:08:35,011 - INFO - Player 2, Action 25, Total tokens 11, Next player 2
2025-04-15 21:08:35,012 - INFO - Player 3, Action 60, Total tokens 10, Next player 3
2025-04-15 21:08:35,014 - INFO - Player 3, Action 57, Total tokens 12, Next player 3
2025-04-15 21:08:35,015 - INFO - Player 3, Action 58, Total tokens 11, Next player 3
2025-04-15 21:08:35,017 - INFO - Player 0, Action 81, Total tokens 8, Next player 0
2025-04-15 21:08:35,018 - INFO - Player 0, Action 57, Total tokens 12, Next player 0
2025-04-15 21:08:35,020 - INFO - Player 1, Action 74, Total tokens 9, Next player 1
2025-04-15 21:08:35,022 - INFO - Player 2, Action 73, Total tokens 8, Next player 2
2025-04-15 21:08:35,024 - INFO - Player 3, Action 2, Total tokens 11, Next player 3
2025-04-15 21:08:35,026 - INFO - Player 0, Action 23, Total tokens 11, Next player 0
2025-04-15 21:08:35,029 - INFO - Player 1, Action 26, Total tokens 11, Next player 1
2025-04-15 21:08:35,030 - INFO - Player 2, Action 7, Total tokens 10, Next player 2
2025-04-15 21:08:35,032 - INFO - Player 3, Action 57, Total tokens 10, Next player 3
2025-04-15 21:08:35,034 - INFO - Player 0, Action 85, Total tokens 9, Next player 0
2025-04-15 21:08:35,037 - INFO - Player 1, Action 80, Total tokens 8, Next player 1
2025-04-15 21:08:35,039 - INFO - Player 2, Action 10, Total tokens 12, Next player 2
2025-04-15 21:08:35,041 - INFO - Player 3, Action 4, Total tokens 11, Next player 3
2025-04-15 21:08:35,044 - INFO - Player 0, Action 38, Total tokens 2, Next player 0
2025-04-15 21:08:35,046 - INFO - Player 1, Action 21, Total tokens 11, Next player 1
